Country_Region,2022/08/01,2022/08/02,2022/08/03,2022/08/04,2022/08/05,2022/08/06,2022/08/07,2022/08/08,2022/08/09,2022/08/10,2022/08/11,2022/08/12,2022/08/13,2022/08/14,2022/08/15,2022/08/16,2022/08/17,2022/08/18,2022/08/19,2022/08/20,2022/08/21,2022/08/22,2022/08/23,2022/08/24,2022/08/25,2022/08/26,2022/08/27,2022/08/28,2022/08/29,2022/08/30,2022/08/31
Barbados,92301,92516,92841,93559,94093,94601,94963,94963,95876,96350,96781,97104,97411,97638,97846,98277,98622,98958,99204,99426,99572,99690,99970,100191,100373,100526,100676,100762,100825,100973,101120
Belarus,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037
Belgium,4425201,4425201,4425201,4425201,4437299,4437299,4437299,4444819,4444819,4444819,4453483,4453483,4453483,4453483,4453483,4460582,4460582,4466095,4466095,4466095,4466095,4471620,4471620,4471620,4477770,4477770,4477770,4477770,4482315,4482315,4482315
Belize,67111,67111,67309,67309,67424,67424,67424,67522,67522,67522,67630,67630,67630,67630,67777,67777,67891,67891,67961,67961,67961,68032,68032,68111,68111,68187,68187,68187,68238,68238,68302
Benin,27316,27316,27316,27316,27316,27316,27316,27316,27316,27316,27316,27316,27316,27316,27316,27316,27316,27316,27316,27316,27316,27316,27316,27316,27316,27316,27316,27316,27490,27490,27490
Bhutan,60530,60530,60530,60530,60530,60530,60530,60663,60663,60663,60663,60663,60663,60663,60779,60779,60779,60779,60779,60779,60779,60898,60898,60898,60898,60898,60898,60898,61076,61076,61076
Bolivia,1037500,1047198,1047198,1056378,1060484,1062772,1064405,1067338,1070521,1073593,1076815,1076815,1079371,1081206,1084013,1086347,1088291,1088291,1089997,1092520,1093218,1094285,1095623,1095623,1096844,1098027,1099718,1100112,1100112,1101652,1101652
Bosnia and Herzegovina,385367,386012,386474,387076,387803,387803,387803,388630,389308,389729,390284,390650,390650,390650,391429,391922,392253,392713,393235,393235,393235,393804,394161,394563,394866,395086,395086,395086,395429,395630,395850
Botswana,325470,325470,325470,325724,325724,325724,325724,325724,325724,325724,325824,325824,325824,325824,325824,325824,325824,325850,325850,325850,325850,325850,325850,325850,325864,325864,325864,325864,325864,325864,325864
Brazil,33855964,33890428,33924061,33964494,33994470,34011173,34018371,34035780,34066000,34066000,34124579,34148131,34148131,34148131,34178240,34201280,34223207,34245374,34264237,34264237,34264237,34284864,34284864,34329600,34350639,34368909,34368909,34368909,34397205,34414011,34429853
Brunei,205890,210417,211132,211157,211157,211157,211157,211157,215283,215283,215283,215283,215283,215283,215283,215283,215283,215283,215283,215283,215283,215283,215283,220245,220245,220245,220245,220245,220245,220245,220245
Bulgaria,1209777,1211728,1213429,1214925,1216491,1217154,1217565,1219883,1221519,1222948,1224222,1225246,1226064,1226419,1228283,1229633,1230822,1231909,1233050,1233470,1233760,1235510,1236660,1237628,1238531,1239382,1239681,1239870,1241273,1242133,1242910
Burkina Faso,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128
Burma,614113,614128,614146,614158,614170,614190,614198,614213,614240,614276,614297,614297,614360,614389,614407,614456,614510,614541,614573,614573,614573,614573,614573,614573,614573,614573,614573,614962,615030,615117,615221
Burundi,45308,46151,46275,46275,47008,47008,47008,47247,47247,47762,47762,48002,48002,48002,48002,48548,48548,48548,48808,48808,48808,48975,48975,49063,49063,49063,49063,49063,49212,49258,49287
Cabo Verde,62163,62172,62184,62191,62200,62206,62207,62214,62221,62235,62244,62249,62253,62253,62253,62254,62266,62266,62282,62282,62288,62289,62294,62297,62301,62306,62309,62310,62310,62310,62320
Cambodia,136829,136868,136908,136937,136959,136977,137021,137056,137081,137117,137138,137179,137207,137236,137264,137300,137326,137349,137377,137394,137426,137448,137476,137482,137497,137519,137538,137555,137581,137596,137620
Cameroon,120215,120215,120215,120215,120215,120215,120215,120215,120215,120215,120215,120967,120967,120967,120967,120967,120967,120967,120967,120967,120967,120967,120967,120967,120967,121652,121652,121652,121652,121652,121652
Canada,4093713,4099374,4102536,4094621,4115965,4117035,4117788,4118564,4120585,4123562,4136552,4141368,4141368,4141368,4141368,4148442,4151317,4160497,4166257,4167111,4167732,4168380,4171952,4175729,4183162,4187139,4187887,4188437,4188917,4192880,4194892
Central African Republic,14764,14772,14772,14772,14781,14781,14781,14781,14781,14781,14781,14803,14803,14803,14803,14803,14803,14803,14803,14803,14803,14803,14803,14862,14862,14862,14862,14862,14862,14862,14862
Chad,7437,7437,7437,7437,7437,7437,7437,7442,7442,7442,7442,7444,7444,7444,7456,7458,7458,7458,7458,7458,7458,7489,7491,7491,7491,7491,7491,7491,7536,7538,7538
Chile,4248048,4253056,4262916,4274613,4286216,4297144,4306955,4314459,4320173,4331416,4344910,4357818,4369706,4380148,4387731,4393244,4399408,4409873,4421815,4432586,4442073,4449016,4453557,4461869,4471118,4479644,4487453,4494404,4499223,4502674,4508422
China,2265424,2270011,2274979,2280418,2285355,2290634,2295769,2300466,2304661,2311307,2316346,2322331,2330459,2339195,2345333,2354676,2363469,2372972,2382169,2390686,2397571,2407635,2416140,2425558,2435598,2443816,2452580,2466054,2476316,2486863,2498088
Colombia,6265798,6265798,6265798,6278998,6278998,6278998,6278998,6278998,6278998,6278998,6286392,6286392,6286392,6286392,6286392,6286392,6286392,6293130,6293130,6293130,6293130,6293130,6293130,6293130,6299595,6299595,6299595,6299595,6299595,6299595,6299595
Comoros,8315,8329,8329,8329,8340,8340,8340,8351,8351,8351,8351,8351,8351,8351,8374,8374,8374,8374,8409,8409,8409,8425,8425,8425,8425,8445,8445,8445,8445,8450,8455
Congo (Brazzaville),24775,24775,24775,24775,24775,24775,24775,24775,24775,24775,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837
Congo (Kinshasa),92173,92173,92173,92173,92173,92173,92173,92456,92456,92456,92456,92456,92456,92456,92457,92543,92543,92543,92543,92543,92543,92588,92588,92588,92588,92634,92634,92634,92634,92634,92634
Costa Rica,1028375,1044385,1044385,1044385,1044385,1044385,1044385,1044385,1057695,1057695,1057695,1057695,1057695,1057695,1057695,1069162,1069162,1069162,1069162,1069162,1069162,1069162,1079825,1079825,1079825,1079825,1079825,1079825,1079825,1088716,1088716
Cote d'Ivoire,85368,85444,85520,85601,85676,85712,85712,85780,85794,85879,85966,86029,86092,86151,86183,86209,86256,86301,86372,86440,86440,86454,86511,86542,86542,86577,86606,86640,86650,86695,86738
Croatia,1186787,1187825,1189593,1191079,1192305,1192555,1193298,1193362,1194349,1196221,1197804,1198898,1200113,1200742,1200807,1200972,1201743,1203617,1204642,1205948,1206587,1206633,1207353,1208529,1209580,1210431,1211419,1211920,1211979,1212547,1213658
Cuba,1108201,1108261,1108361,1108492,1108621,1108706,1108827,1108895,1108982,1109077,1109193,1109259,1109360,1109433,1109520,1109577,1109649,1109752,1109837,1109911,1109992,1110054,1110102,1110159,1110218,1110277,1110337,1110407,1110464,1110497,1110539
Cyprus,562911,562911,562911,562911,562911,568383,568383,568383,568383,568383,568383,571994,571994,571994,571994,571994,571994,571994,574124,574124,574124,574124,574124,574124,574124,576278,576278,576278,576278,576278,576278
Czechia,4273304,4276396,4280357,4283662,4287884,4288852,4289883,4292932,4292932,4297469,4302477,4305402,4306853,4307135,4310239,4314213,4317780,4320609,4323488,4324812,4325194,4327819,4330039,4332971,4334684,4338808,4339998,4340382,4343107,4345369,4348510
Denmark,3280252,3282205,3284035,3285721,3287083,3287083,3287083,3290594,3292527,3294667,3296838,3298716,3298716,3298716,3302757,3304657,3306313,3307771,3308848,3308848,3308848,3311631,3312798,3313907,3315016,3315957,3315957,3315957,3318087,3319074,3319834
Diamond Princess,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712
Djibouti,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690
Dominica,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852
Dominican Republic,629643,629643,631040,631040,631040,632655,632655,632655,632655,633689,633689,633689,633689,634866,634866,635461,635461,635461,635461,635461,636416,636416,636416,636416,637573,637573,637573,637573,638500,638500,638500
Ecuador,961345,963668,973870,975234,975234,975234,975234,975234,975234,975234,975234,975234,975234,975234,975234,983615,983615,986502,988583,988583,988583,990405,990405,992838,992838,993858,993858,993858,995147,995147,995968
Egypt,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645
El Salvador,190818,190818,190818,190818,190818,190818,190818,190818,190818,190818,190818,190818,190818,190818,190818,190818,190818,190818,190818,190818,190818,190818,190818,190818,190818,190818,190818,190818,190818,201785,201785
Equatorial Guinea,16741,16741,16741,16741,16771,16776,16776,16785,16789,16789,16795,16892,16892,16892,16898,16898,16914,16914,16917,16917,16917,16920,16937,16938,16938,16945,16945,16945,16946,16950,16956
Eritrea,10054,10074,10087,10095,10109,10116,10118,10124,10126,10126,10130,10133,10134,10136,10137,10141,10143,10146,10149,10149,10149,10149,10149,10149,10149,10151,10151,10154,10154,10154,10154
Estonia,586399,591377,591377,591377,591377,591377,591377,591377,593571,593571,593571,593571,593571,593571,593571,595419,595419,595419,595419,595419,595419,595419,596763,596763,596763,596763,596763,596763,596763,597838,597838
Eswatini,73282,73284,73290,73294,73297,73301,73305,73307,73311,73316,73318,73322,73326,73327,73330,73334,73336,73342,73344,73344,73344,73344,73344,73345,73353,73358,73358,73358,73361,73361,73367
Ethiopia,492278,492316,492375,492412,492461,492476,492491,492549,492590,492631,492667,492713,492738,492753,492816,492848,492874,492894,492935,492960,492968,493010,493032,493076,493089,493132,493142,493144,493167,493180,493190
Fiji,67673,67673,67673,67805,67805,67805,67805,67869,67869,67869,67925,67925,67925,67925,67969,67969,67969,68028,68028,68028,68028,68083,68083,68083,68116,68116,68116,68116,68153,68153,68153
Finland,1171034,1171034,1171034,1218216,1218216,1218216,1218216,1218216,1218216,1218216,1238998,1238998,1238998,1238998,1238998,1238998,1238998,1250557,1250557,1250557,1250557,1250557,1250557,1250557,1258798,1258798,1258798,1258798,1258798,1258798,1258798
France,34077286,34133344,34172819,34206310,34237067,34237067,34237067,34292342,34331725,34359013,34383344,34406092,34406092,34406092,34406296,34455445,34491381,34514986,34535255,34535255,34535255,34573992,34603400,34624825,34644718,34662834,34662834,34662834,34698583,34726269,34745833
Gabon,48511,48511,48511,48511,48511,48511,48511,48511,48592,48592,48592,48592,48592,48592,48592,48592,48592,48592,48635,48635,48635,48635,48635,48635,48635,48635,48635,48635,48635,48649,48649
Gambia,12078,12115,12149,12149,12149,12149,12149,12197,12197,12238,12238,12238,12238,12238,12238,12238,12238,12238,12238,12238,12238,12311,12311,12311,12311,12311,12311,12311,12311,12311,12311
Georgia,1686218,1686218,1698020,1698020,1698020,1698020,1698020,1698020,1698020,1698020,1710749,1710749,1710749,1710749,1710749,1710749,1710749,1723087,1723087,1723087,1723087,1723087,1723087,1723087,1735682,1735682,1735682,1735682,1735682,1735682,1735682
Germany,30854175,30956873,31044554,31119199,31178705,31178705,31178705,31228322,31307020,31379757,31439645,31489484,31489484,31489484,31535340,31599085,31666475,31725160,31771884,31771884,31771884,31808228,31868639,31921578,31970779,32008122,32008122,32008122,32041350,32095854,32145157
Ghana,168127,168127,168127,168127,168306,168306,168306,168350,168350,168350,168350,168350,168350,168350,168457,168457,168457,168457,168457,168457,168457,168457,168457,168457,168457,168565,168565,168565,168580,168580,168580
Greece,4349423,4474616,4474616,4474616,4474616,4474616,4474616,4474616,4577675,4577675,4577675,4577675,4577675,4577675,4577675,4654737,4654737,4654737,4654737,4654737,4654737,4654737,4712025,4712025,4712025,4712025,4712025,4712025,4712025,4762827,4762827
Grenada,18786,18786,18786,18822,18822,18822,18845,18845,18845,18845,18869,18869,18895,18895,18895,19006,19006,19113,19113,19161,19161,19161,19208,19208,19268,19268,19268,19289,19289,19289,19289
Guatemala,1042592,1044915,1048193,1051398,1054127,1056618,1057289,1057694,1060714,1063908,1067606,1070326,1072241,1072590,1072733,1074514,1077836,1080712,1082925,1085118,1085327,1085456,1088280,1090506,1092545,1094572,1096530,1097563,1098327,1100437,1101954
Guinea,37408,37408,37408,37408,37408,37408,37408,37429,37429,37429,37429,37470,37470,37470,37470,37470,37470,37470,37470,37470,37470,37470,37470,37470,37470,37470,37470,37470,37470,37470,37470
Guinea-Bissau,8412,8440,8440,8440,8440,8440,8440,8452,8452,8452,8452,8452,8452,8452,8452,8482,8482,8482,8482,8482,8482,8482,8482,8482,8482,8482,8482,8482,8491,8491,8491
Guyana,69834,69846,69948,70009,70083,70126,70152,70159,70222,70284,70353,70398,70439,70457,70470,70561,70703,70744,70788,70803,70809,70815,70841,70841,70926,70943,70966,70974,70982,71005,71035
Haiti,32464,32516,32516,32516,32516,32516,32703,32715,32738,32791,32809,32843,32873,32942,32961,32994,33017,33043,33070,33133,33189,33239,33295,33331,33360,33381,33400,33442,33468,33520,33551
Holy See,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
Honduras,439901,442319,442319,444152,445271,445271,445271,445271,445271,446454,446454,447365,447365,447365,447365,449495,449495,449495,450393,450393,450393,450393,450393,451595,452305,452305,452305,452305,453443,453443,453443
Hungary,1965481,1965481,1987321,1987321,1987321,1987321,1987321,1987321,1987321,2005399,2005399,2005399,2005399,2005399,2005399,2005399,2021648,2021648,2021648,2021648,2021648,2021648,2021648,2036390,2036390,2036390,2036390,2036390,2036390,2036390,2048547
Iceland,202157,202502,202502,202502,202831,202831,202831,202831,203162,203162,203162,203518,203518,203518,203518,203814,203814,203814,204057,204057,204057,204057,204268,204268,204268,204268,204268,204268,204268,204717,204717
India,44050009,44067144,44087037,44107588,44126994,44145709,44145709,44174650,44190697,44206996,44223557,44239372,44253464,44268381,44277711,44286256,44298864,44314618,44327890,44339429,44348960,44357546,44368195,44378920,44389176,44398696,44408132,44415723,44415723,44415723,44436339
Indonesia,6210794,6216621,6222788,6229315,6235244,6240699,6244978,6249403,6255679,6261605,6267137,6273228,6278332,6282774,6286362,6292231,6297484,6301523,6306686,6311608,6315557,6318857,6323715,6329143,6334357,6338906,6343076,6346304,6349175,6354245,6358808
Iran,7400725,7410075,7418615,7426030,7431485,7434945,7440422,7443801,7446144,7451779,7459175,7465579,7468894,7475173,7482521,7488493,7493317,7497844,7501534,7503369,7506614,7510702,7513928,7516596,7518974,7520993,7521969,7523662,7525628,7527499,7528961
Iraq,2445888,2447232,2448484,2449440,2450257,2450637,2450637,2451178,2451178,2451178,2451178,2451178,2451178,2451178,2454213,2454213,2454213,2454213,2454213,2454213,2454213,2456555,2456555,2456555,2456555,2456555,2456555,2456555,2456555,2457871,2457871
Ireland,1644166,1644166,1647605,1647605,1647605,1647605,1647605,1647605,1647605,1650791,1650791,1650791,1650791,1650791,1650791,1650791,1653576,1653576,1653576,1653576,1653576,1653576,1653576,1655338,1655338,1655338,1655338,1655338,1655338,1655338,1656956
Israel,4585583,4589285,4592569,4595648,4598467,4598467,4600994,4603321,4606734,4608836,4610655,4612451,4613292,4614404,4616372,4617926,4619552,4620627,4622049,4622661,4623043,4624804,4626059,4627109,4628082,4629050,4629050,4630021,4631573,4632100,4633417
Italy,21059545,21124644,21170600,21213559,21251774,21286771,21313427,21325402,21368480,21400179,21428602,21455291,21480076,21499531,21509424,21518365,21554626,21581917,21606606,21630998,21650468,21660885,21696242,21721630,21745065,21767060,21788862,21806509,21814856,21845943,21867757
Jamaica,146468,146541,146608,146695,146843,147006,147189,147316,147344,147344,147567,147725,147908,148048,148184,148226,148322,148450,148627,148737,148824,148952,148996,149092,149218,149327,149420,149596,149714,149763,149798
Japan,12935010,13145926,13395634,13634335,13868027,14095507,14301928,14439709,14652175,14902463,15142572,15311290,15494932,15673273,15811748,15977877,16209238,16464723,16725722,16978914,17205062,17345982,17554433,17797923,18018770,18211113,18391173,18548929,18644758,18797340,18966848
Jordan,1715296,1715296,1715296,1715296,1715296,1715296,1715296,1720778,1720778,1720778,1720778,1720778,1720778,1720778,1726717,1726717,1726717,1726717,1726717,1726717,1731549,1731549,1731549,1731549,1731549,1731549,1731549,1735495,1735495,1735495,1735495
Kazakhstan,1442145,1444167,1449679,1449679,1452283,1454520,1456527,1457904,1459033,1460713,1462380,1464041,1465506,1466760,1467691,1469601,1469601,1470777,1471733,1472642,1472642,1474198,1474198,1474876,1475615,1476288,1476926,1476926,1477490,1478163,1478394
Kenya,337639,337689,337734,337768,337808,337833,337853,337874,337884,337894,337912,337921,337938,337950,337961,337966,337985,338009,338022,338042,338047,338053,338061,338088,338093,338105,338153,338161,338165,338170,338183
Kiribati,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430
"Korea, North",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Korea, South",19932439,20052305,20160154,20273011,20383621,20489128,20544420,20694239,20845973,20983169,21111840,21236355,21355958,21418036,21502164,21682816,21861296,22000037,22129387,22240331,22299377,22449475,22588640,22701921,22802985,22898523,22983818,23026960,23142479,23246398,23327897
Kosovo,254743,255773,257335,258490,259756,260686,261304,261635,262587,263784,264564,265424,266293,266686,266960,267373,268156,268639,269158,269461,269685,269888,270143,270506,270709,270897,271063,271152,271194,271285,271476
Kuwait,653730,653730,653730,653730,653730,654814,655854,655854,655854,655854,655854,655854,655854,656393,656393,656393,656393,656393,656393,656393,657042,657042,657042,657042,657042,657042,657042,657042,657395,657395,657395
Kyrgyzstan,202685,203776,203776,203776,203776,203776,203776,204671,204671,204671,204671,204671,204671,204671,205198,205198,205198,205198,205198,205198,205198,205537,205537,205537,205537,205537,205537,205537,205537,205716,205716
Laos,211271,211375,211441,211537,211643,211711,211842,211842,211942,212027,212124,212214,212323,212356,212443,212571,212761,212920,213072,213157,213209,213264,213370,213502,213591,213691,213738,213824,213824,213925,214039
Latvia,864329,866034,867809,869576,871181,871181,871181,874090,875821,877702,879481,881020,881020,881020,883631,885310,887046,888512,889656,889656,889656,891726,892641,893613,894519,895513,895513,895513,897178,897957,899133
Lebanon,1175514,1176838,1179481,1181614,1183450,1185405,1186920,1188468,1189500,1191206,1192687,1194341,1195784,1197041,1197866,1198892,1200111,1201320,1202481,1203404,1204106,1204727,1205169,1206052,1206757,1207385,1207873,1208304,1208681,1208681,1209478
Lesotho,34040,34040,34040,34040,34040,34040,34040,34206,34206,34206,34206,34206,34206,34206,34206,34206,34206,34206,34206,34206,34206,34206,34206,34206,34206,34206,34206,34206,34206,34206,34206
Liberia,7538,7538,7538,7538,7548,7548,7548,7548,7548,7548,7552,7578,7578,7578,7578,7656,7656,7656,7656,7656,7656,7656,7732,7732,7732,7732,7732,7732,7835,7835,7883
Libya,503611,504997,505220,505350,505350,505350,505350,505705,505805,505859,505956,505956,505956,505956,506314,506359,506441,506475,506515,506515,506515,506602,506654,506689,506705,506746,506746,506751,506768,506775,506790
Liechtenstein,18713,18756,18774,18776,18805,18805,18805,18827,18853,18872,18889,18907,18907,18907,18907,18939,18961,18968,18985,18985,18985,19005,19031,19047,19047,19086,19086,19086,19111,19146,19161
Lithuania,1183536,1185583,1187213,1188767,1190172,1191712,1191888,1191996,1193955,1195813,1197416,1198747,1200279,1200477,1200610,1200807,1203644,1205579,1207268,1208667,1208790,1208857,1211077,1212309,1213520,1214484,1215461,1215461,1215605,1217300,1218327
Luxembourg,282252,282929,283214,283507,283721,283721,284931,284931,284931,284931,284931,284931,284931,284931,284931,284931,285145,285345,285552,285552,285552,285689,285883,286045,286188,286289,286289,286289,286289,286660,286827
MS Zaandam,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Madagascar,66491,66491,66491,66491,66491,66491,66557,66557,66557,66557,66557,66557,66557,66599,66599,66599,66599,66599,66599,66599,66615,66615,66615,66615,66615,66615,66615,66626,66626,66626,66626
Malawi,87425,87476,87514,87547,87570,87617,87627,87630,87637,87670,87691,87705,87710,87711,87718,87732,87732,87763,87771,87779,87783,87786,87793,87793,87814,87828,87834,87839,87842,87856,87860
Malaysia,4683266,4687470,4692800,4697213,4701140,4705824,4708552,4711415,4714498,4719394,4724225,4728168,4732502,4735547,4737984,4741413,4744929,4749000,4752490,4755288,4757752,4759830,4762552,4765188,4768394,4771512,4774003,4776194,4777769,4780284,4782624
Maldives,184485,184485,184485,184485,184485,184485,184485,184591,184591,184591,184591,184591,184591,184591,184689,184689,184689,184689,184689,184689,184689,184788,184788,184788,184788,184788,184788,184788,184856,184856,184856
Mali,31228,31230,31232,31232,31234,31236,31236,31237,31237,31238,31240,31242,31244,31245,31245,31249,31249,31255,31257,31259,31260,31262,31263,31275,31290,31302,31314,31325,31337,31365,31412
Malta,112879,112973,113056,113120,113170,113220,113246,113288,113335,113378,113427,113471,113501,113534,113558,113585,113627,113693,113721,113777,113800,113833,113870,113892,113916,113916,113972,113989,114000,114026,114050
Marshall Islands,66,66,66,68,68,68,70,70,125,189,189,681,681,1250,3036,5468,6606,8197,9077,9912,9912,10802,10802,13932,14250,14506,14506,14506,14907,15007,15042
Mauritania,62579,62592,62615,62631,62645,62652,62657,62666,62675,62683,62696,62701,62705,62708,62717,62721,62724,62726,62726,62729,62739,62741,62742,62744,62756,62756,62759,62761,62761,62762,62765
Mauritius,244850,244850,244850,244850,248720,248720,248720,248720,248720,248720,248720,248720,248720,248720,251746,251746,251746,251746,254400,254400,254400,254400,254400,254400,254400,254400,254400,254400,254400,256452,256452
Mexico,6761149,6782980,6803190,6821746,6821746,6854180,6857470,6859970,6875708,6875708,6875708,6875708,6925668,6927636,6929003,6939755,6949653,6949653,6949653,6949653,6949653,6949653,6986328,6994309,7001590,7001590,7001590,7014510,7014510,7014510,7014510
Micronesia,4321,5444,6291,6291,6507,6507,6691,6850,6850,7125,7136,7139,7139,7139,7168,7174,7196,7198,7202,7202,7202,7727,7263,7202,7202,7202,7202,7202,7202,7326,7327
Moldova,532187,532187,541715,541715,541715,541715,541715,541715,541715,551862,551862,551862,551862,551862,551862,561196,561196,561196,561196,561196,561196,561196,561196,569088,569088,569088,569088,569088,569088,569088,575052
Monaco,14129,14129,14138,14157,14174,14174,14174,14198,14218,14218,14266,14277,14277,14277,14277,14277,14299,14299,14309,14309,14309,14323,14333,14341,14357,14363,14363,14363,14363,14375,14379
Mongolia,943690,948421,951735,951735,954305,954305,954305,961171,962494,964649,966423,966423,966423,966423,970534,970534,972443,973272,973272,973272,973272,974233,976114,976751,976751,976751,976751,976751,976751,978960,978960
Montenegro,259972,261025,261934,262808,263658,264464,265184,265655,266422,267211,267938,268579,269213,269719,270063,270693,271241,271733,272180,272609,272929,273185,273563,273893,274218,274491,274744,274950,275096,275338,275538
Morocco,1261125,1261499,1261816,1262082,1262300,1262501,1262622,1262696,1262887,1263035,1263164,1263256,1263373,1263453,1263491,1263591,1263700,1263779,1263865,1263943,1263985,1264010,1264068,1264130,1264200,1264237,1264286,1264316,1264342,1264388,1264435
Mozambique,229601,229623,229645,229674,229696,229739,229755,229759,229777,229777,229836,229836,229859,229887,229890,229909,229932,229932,229975,229992,230001,230004,230009,230009,230019,230053,230064,230068,230069,230076,230076
Namibia,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253
